PC=00000000, REG[ 1]=00001000
PC=00000004, REG[ 2]=00000008
PC=00000018, REG[ 3]=87b0b0fd
PC=0000001c, REG[ 4]=b504f32d
PC=00000020, REG[ 5]=00000000
PC=00000024, REG[ 5]=00000001
PC=00000028, REG[ 6]=00000001
PC=0000002c, REG[11]=3d8587e8
PC=00000030, REG[11]=f28a7b15
PC=00000034, REG[12]=98ea13c1
PC=00000038, REG[12]=4def06ee
PC=0000003c, REG[13]=9f9d7936
PC=00000040, REG[13]=54a26c63
PC=00000044, REG[ 2]=08192dd7
PC=00000048, REG[ 2]=bd1e2104
PC=0000004c, REG[11]=f28a7b15
PC=00000050, ---
PC=00000054, REG[12]=4def06ee
PC=00000058, ---
PC=0000005c, REG[13]=54a26c63
PC=00000060, ---
PC=00000064, REG[14]=bd1e2104
PC=00000068, ---
PC=0000006c, REG[ 1]=00001020
PC=00000070, ---
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000001
PC=0000002c, REG[11]=6c3960f4
PC=00000030, REG[11]=213e5421
PC=00000034, REG[12]=f21fd49d
PC=00000038, REG[12]=a724c7ca
PC=0000003c, REG[13]=599452a2
PC=00000040, REG[13]=0e9945cf
PC=00000044, REG[ 2]=f4c84d93
PC=00000048, REG[ 2]=a9cd40c0
PC=0000004c, REG[11]=213e5421
PC=00000050, ---
PC=00000054, REG[12]=a724c7ca
PC=00000058, ---
PC=0000005c, REG[13]=0e9945cf
PC=00000060, ---
PC=00000064, REG[14]=a9cd40c0
PC=00000068, ---
PC=0000006c, REG[ 1]=00001040
PC=00000070, ---
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000001
PC=0000002c, REG[11]=b05cfdc0
PC=00000030, REG[11]=6561f0ed
PC=00000034, REG[12]=255e0a39
PC=00000038, REG[12]=da62fd66
PC=0000003c, REG[13]=e22a8dce
PC=00000040, REG[13]=972f80fb
PC=00000044, REG[ 2]=1c2f080f
PC=00000048, REG[ 2]=d133fb3c
PC=0000004c, REG[11]=6561f0ed
PC=00000050, ---
PC=00000054, REG[12]=da62fd66
PC=00000058, ---
PC=0000005c, REG[13]=972f80fb
PC=00000060, ---
PC=00000064, REG[14]=d133fb3c
PC=00000068, ---
PC=0000006c, REG[ 1]=00001060
PC=00000070, ---
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000001
PC=0000002c, REG[11]=da588a4c
PC=00000030, REG[11]=8f5d7d79
PC=00000034, REG[12]=07d83095
PC=00000038, REG[12]=bcdd23c2
PC=0000003c, REG[13]=9281b6ba
PC=00000040, REG[13]=4786a9e7
PC=00000044, REG[ 2]=e4b4b94b
PC=00000048, REG[ 2]=99b9ac78
PC=0000004c, REG[11]=8f5d7d79
PC=00000050, ---
PC=00000054, REG[12]=bcdd23c2
PC=00000058, ---
PC=0000005c, REG[13]=4786a9e7
PC=00000060, ---
PC=00000064, REG[14]=99b9ac78
PC=00000068, ---
PC=0000006c, REG[ 1]=00001080
PC=00000070, ---
